qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.09102344512939453,0.13829636573791504,0.13661789894104004,0.12349128723144531,0.13287830352783203,0.15497183799743652,0.07971715927124023
0.09160590171813965,0.13548517227172852,0.14282560348510742,0.13402128219604492,0.1321086883544922,0.1548786163330078,0.07948708534240723
0.0912008285522461,0.1375265121459961,0.1409587860107422,0.1348273754119873,0.13377165794372559,0.15477776527404785,0.07971525192260742
0.09002065658569336,0.1332416534423828,0.14148855209350586,0.12452936172485352,0.1319880485534668,0.15477371215820312,0.07983255386352539
0.09099292755126953,0.13745522499084473,0.1342782974243164,0.14223217964172363,0.1350698471069336,0.15491700172424316,0.07979512214660645
0.08976483345031738,0.13443970680236816,0.1354668140411377,0.1333911418914795,0.13974332809448242,0.15465307235717773,0.07990193367004395
0.0901343822479248,0.1432781219482422,0.13759708404541016,0.12619400024414062,0.1339409351348877,0.15458440780639648,0.0797128677368164
0.0914301872253418,0.13930153846740723,0.14000725746154785,0.13545751571655273,0.13405942916870117,0.15488553047180176,0.07966232299804688
0.0890955924987793,0.13361310958862305,0.13280010223388672,0.13463377952575684,0.13298678398132324,0.15556931495666504,0.07970523834228516
0.09162306785583496,0.13632488250732422,0.13971424102783203,0.13562369346618652,0.1319444179534912,0.15493297576904297,0.08065462112426758
0.09045147895812988,0.13354945182800293,0.13535284996032715,0.12999725341796875,0.13707184791564941,0.15468955039978027,0.07975363731384277
0.08946585655212402,0.14217495918273926,0.13912558555603027,0.13687968254089355,0.13328886032104492,0.1547403335571289,0.07994580268859863
0.08926081657409668,0.13846921920776367,0.13653206825256348,0.13436341285705566,0.1319119930267334,0.15477585792541504,0.07966279983520508
0.08961248397827148,0.13672590255737305,0.13818645477294922,0.13305330276489258,0.1308577060699463,0.1548902988433838,0.07966780662536621
0.09002184867858887,0.1371781826019287,0.13150954246520996,0.13108468055725098,0.13219451904296875,0.17338180541992188,0.0796658992767334
0.09086322784423828,0.13547587394714355,0.1412951946258545,0.13494062423706055,0.13227248191833496,0.15479183197021484,0.07967495918273926
0.09001564979553223,0.14038467407226562,0.1363208293914795,0.12794065475463867,0.13098526000976562,0.1547565460205078,0.07959437370300293
0.0898287296295166,0.13436126708984375,0.13887333869934082,0.1263585090637207,0.13537812232971191,0.15473246574401855,0.08005046844482422
0.09242391586303711,0.13727617263793945,0.13815665245056152,0.1307830810546875,0.13048148155212402,0.15480446815490723,0.08021402359008789
0.08894133567810059,0.13894391059875488,0.1383044719696045,0.1325831413269043,0.13548755645751953,0.15496158599853516,0.07987046241760254
